"param","index","value"
"kappa",1968,13.0503396660358
"kappa",1969,13.4287352545234
"kappa",1970,7.97046234022918
"kappa",1971,10.3792419989727
"kappa",1972,9.68339414834552
"kappa",1973,9.06415166930369
"kappa",1974,8.58622741132519
"kappa",1975,8.54962055080217
"kappa",1976,9.564428816721
"kappa",1977,6.43219508826566
"kappa",1978,6.23537350119673
"kappa",1979,6.13839536954441
"kappa",1980,3.23383104116779
"kappa",1981,1.15080194188702
"kappa",1982,-2.46883978600933
"kappa",1983,-4.55128331778301
"kappa",1984,-7.45130174153176
"kappa",1985,-5.78328125119132
"kappa",1986,-8.40591974603412
"kappa",1987,-11.1268205217073
"kappa",1988,-10.2388756031668
"kappa",1989,-18.709102929177
"kappa",1990,-17.5478858899374
"kappa",1991,-19.8584748634716
"kappa",1992,-24.036154331546
"kappa",1993,-25.0639957366384
"kappa",1994,-33.6391033989782
"kappa",1995,-33.8691463278377
"kappa",1996,-38.0906996260818
"kappa",1997,-40.9876181085159
"kappa",1998,-43.2531859031438
"kappa",1999,-45.9952904217159
"kappa",2000,-51.0980035180324
